,recording_msid,track_metadata.mbid_mapping.recording_mbid,artists,full_artists,full_track_name
35,6419fd7f-3eb1-47fa-9633-ee38e583d88f,fa263813-9106-43f5-88d0-7c978705e758,Dayseeker,Dayseeker,Shapeshift - Dayseeker
36,cf09db7b-55f5-4494-a2a5-af29f32eb735,e08bc026-0dbc-4aaa-8c13-75f21ada81a3,Dayseeker,Dayseeker,Forgotten Ghost - Dayseeker
37,d46c9742-c5e0-47c2-846f-79a0d319176e,44167d9c-9cbb-4d40-adab-5e6946e8a50a,Dayseeker,Dayseeker,Creature in the Black Night - Dayseeker
38,ec6f3239-7cd7-46e8-8a11-9e86086590a1,3a914c8b-9a98-44c3-a607-5a55177de157,Dayseeker,Dayseeker,Crying While You’re Dancing - Dayseeker
39,78ce93a7-ad0f-446f-a42b-9526348a4cf4,2e29167c-e217-41c3-a343-b1f699011c0c,Dayseeker,Dayseeker,Crooked Soul - Dayseeker
40,fa9e2875-f894-4585-8964-a956ceb0b429,b17e9b74-68b0-4905-a8d1-73101780fc73,Dayseeker,Dayseeker,Soulburn - Dayseeker
41,4ac951b3-0400-4126-ac58-048cb658f56a,53fd72e1-5de1-49aa-8588-a90d0cc1e449,Dayseeker,Dayseeker,Crawl Back to My Coffin - Dayseeker
42,12402be4-9c96-4015-ae28-850158223c11,155fcebf-b270-4e4c-ae87-46b061c6ac1d,Dayseeker,Dayseeker,Sleeptalk - Dayseeker
43,44b4fc55-7ab7-4418-9f6b-c9c442b51ec1,ddaa5dec-bc3c-4945-89ec-3b311a989b30,Dayseeker,Dayseeker,Without Me - Dayseeker
44,3125e30d-ea37-4dd6-8943-a4e2fcb4d518,7616d73a-d485-4852-abf6-6280f78b6c62,Dayseeker,Dayseeker,Pale Moonlight - Dayseeker
45,178bde0b-c07f-42bc-b3d1-05087493e2a8,b6f19762-1124-4919-9445-dd081fa87428,Dayseeker,Dayseeker,Bloodlust - Dayseeker
46,2d9b84e1-a987-40d7-bde0-9cdbc1250d4d,59cb7928-6b65-4940-82d4-046075f4d6fe,Like Moths to Flames,Like Moths to Flames,You Won’t Be Missed - Like Moths to Flames
47,7f75eded-0228-48d8-98ec-bbcefd47fb87,31c5b3e9-d6a3-4c0b-8a7d-cd97ac255881,ERRA,ERRA,echo sonata - ERRA
48,37494fdf-6ef6-47ed-a51e-4fdebadd0712,9d1f7b1a-b61b-4a0f-a2ad-88bfcb27765e,Dayseeker,Dayseeker,The Color Black - Dayseeker
49,a743582f-aa67-4d9a-9476-88f05eb5ae6b,a6270453-3f75-4436-8f8d-e0144a60d6f4,sace6,sace6,ego - sace6
50,9983f934-b3d9-4738-ad78-2a712799a6a0,06d82ce5-fb26-4522-957a-91645f81fa0f,Ocean Sleeper,Ocean Sleeper,King of Nothing - Ocean Sleeper
51,503e12b3-8762-412d-8551-12bb0ed9f76d,44038b3e-4344-4b88-8e82-89a37f37d71c,Architects,Architects  feat.  Winston McCall ,Impermanence - Architects  feat.  Winston McCall 
51,503e12b3-8762-412d-8551-12bb0ed9f76d,44038b3e-4344-4b88-8e82-89a37f37d71c,Winston McCall,Architects  feat.  Winston McCall ,Impermanence - Architects  feat.  Winston McCall 
52,596f6122-a31d-4bb7-b136-e5399c12c3c6,7ce69c39-c8a0-4989-8264-328fdb2a9cdc,Treaty Oak Revival,Treaty Oak Revival,Sunflower - Treaty Oak Revival
53,6bd2658e-a1ff-4723-abc6-24133ea00ba4,64cde045-5d03-47bc-8d9e-9789dbefc7e3,Bring Me the Horizon,Bring Me the Horizon,Follow You - Bring Me the Horizon
54,d68a462a-d4ce-43f4-b3e7-b8ae2beb169c,da0595ff-7a7f-464f-ac7d-d0167ebef8fd,ERRA,ERRA,further eden - ERRA
55,cfe36af9-1f35-466d-ad94-942b6b38f35c,9fb70338-01ac-4e97-abd1-1309b668a93b,Catch Your Breath,Catch Your Breath,Dark - Catch Your Breath
56,e079039d-5f85-4b00-9d15-01c07976be56,cae2841b-f02b-48b2-9ae6-4b010e8238f6,I See Stars,I See Stars,Anomaly - I See Stars
57,d8f8485f-5966-4159-8e2f-121ca0d8ccae,8f57f060-37fe-4466-a6e1-0e1537e635a6,Kami Kehoe,Kami Kehoe,DOPAMINE - Kami Kehoe
58,17044ba0-cfa0-4964-a699-91e72b3200e3,93e5f89d-94a5-4db3-ba43-fb28de47b62b,Emarosa,Emarosa,Good Enough - Emarosa
59,37d85245-8299-42f4-a8f4-97847ad2ef7c,59f5ffef-419a-4916-adb1-0acb491c39e3,Treaty Oak Revival,Treaty Oak Revival  feat.  Muscadine Bloodline ,Misery - Treaty Oak Revival  feat.  Muscadine Bloodline 
59,37d85245-8299-42f4-a8f4-97847ad2ef7c,59f5ffef-419a-4916-adb1-0acb491c39e3,Muscadine Bloodline,Treaty Oak Revival  feat.  Muscadine Bloodline ,Misery - Treaty Oak Revival  feat.  Muscadine Bloodline 
60,b54db7ba-d077-4241-972d-6be9b63a129a,1b01a703-6c29-4fb1-8675-a03dd058daae,Melrose Avenue,Melrose Avenue,Taste - Melrose Avenue
61,bc32acc2-12e6-4f3a-ac66-b176ae110851,f5ec52d5-da18-40de-a23c-a5b4fc4cba85,Normandie,Normandie,Cyanide - Normandie
62,4a984c15-55bc-4347-bf55-b3e40258cf34,9b4f8fb8-2171-457f-93ae-b454dbeae4f1,Secrets,Secrets,Paralyzed - Secrets
