,recording_mbid,genres
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,rage
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,2010s
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,millennial
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,trap
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,cloud rap
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,alternative/indie rock
16,04453a82-55ad-4ed6-85f9-ca3d950a34a2,pop
17,04ab2b4d-fc26-46db-9cc6-644cce561b03,metal
17,04ab2b4d-fc26-46db-9cc6-644cce561b03,metalcore
17,04ab2b4d-fc26-46db-9cc6-644cce561b03,post-hardcore
17,04ab2b4d-fc26-46db-9cc6-644cce561b03,alternative metal
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,alternative rock
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,rock
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,alternative metal
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,metalcore
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,emo
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,electronic rock
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,electronic
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,emocore
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,hard rock
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,electronicore
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,melodic metalcore
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,metal
18,04cf326e-a847-4f72-8f26-c7b97c6e42d7,post-hardcore
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,southern hip hop
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,2020s
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,trap
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,rap
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,english
19,04e7a888-c18f-4ab3-9a62-a44f248b80c2,hip hop
20,05057303-2e91-4277-9120-d83b5cdda4cd,alternative metal
20,05057303-2e91-4277-9120-d83b5cdda4cd,progressive rock
20,05057303-2e91-4277-9120-d83b5cdda4cd,djent
20,05057303-2e91-4277-9120-d83b5cdda4cd,alternative pop
20,05057303-2e91-4277-9120-d83b5cdda4cd,progressive metal
20,05057303-2e91-4277-9120-d83b5cdda4cd,alternative r&b
20,05057303-2e91-4277-9120-d83b5cdda4cd,art pop
21,0547edb2-3eea-4b90-9b18-26dcfc101521,emo pop
21,0547edb2-3eea-4b90-9b18-26dcfc101521,new wave
21,0547edb2-3eea-4b90-9b18-26dcfc101521,pop
21,0547edb2-3eea-4b90-9b18-26dcfc101521,female fronted
21,0547edb2-3eea-4b90-9b18-26dcfc101521,nuno
21,0547edb2-3eea-4b90-9b18-26dcfc101521,alternative rock
21,0547edb2-3eea-4b90-9b18-26dcfc101521,pop rock
21,0547edb2-3eea-4b90-9b18-26dcfc101521,rock
21,0547edb2-3eea-4b90-9b18-26dcfc101521,power pop
21,0547edb2-3eea-4b90-9b18-26dcfc101521,emo
21,0547edb2-3eea-4b90-9b18-26dcfc101521,acoustic rock
21,0547edb2-3eea-4b90-9b18-26dcfc101521,emo-pop
21,0547edb2-3eea-4b90-9b18-26dcfc101521,pop punk
22,056fbf4a-a354-447f-91a9-39e0fb823a64,english
22,056fbf4a-a354-447f-91a9-39e0fb823a64,alternative r&b
22,056fbf4a-a354-447f-91a9-39e0fb823a64,neo soul
22,056fbf4a-a354-447f-91a9-39e0fb823a64,southern hip hop
22,056fbf4a-a354-447f-91a9-39e0fb823a64,experimental hip hop
22,056fbf4a-a354-447f-91a9-39e0fb823a64,trap
22,056fbf4a-a354-447f-91a9-39e0fb823a64,contemporary r&b
22,056fbf4a-a354-447f-91a9-39e0fb823a64,pop rap
22,056fbf4a-a354-447f-91a9-39e0fb823a64,hip hop soul
22,056fbf4a-a354-447f-91a9-39e0fb823a64,pop
22,056fbf4a-a354-447f-91a9-39e0fb823a64,electronic
22,056fbf4a-a354-447f-91a9-39e0fb823a64,american
22,056fbf4a-a354-447f-91a9-39e0fb823a64,hip hop
22,056fbf4a-a354-447f-91a9-39e0fb823a64,rap
22,056fbf4a-a354-447f-91a9-39e0fb823a64,r&b
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,trap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,contemporary rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,conscious rapper
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,house
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,disco
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,progressive rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,dance
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,jazz
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,west coast hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,trap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,2010s
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,2020s
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,future bass
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,gangsta rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,alternative hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,hardcore hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,conscious hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,jazz rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,r&b
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,west coast hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,hip hop
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,pop rap
23,05bff6a0-146d-4f8b-9c20-01f9badc48b7,pop
24,06879155-b9ce-4777-bdc0-f83cd6162760,alternative r&b
24,06879155-b9ce-4777-bdc0-f83cd6162760,pop
24,06879155-b9ce-4777-bdc0-f83cd6162760,synth-pop
24,06879155-b9ce-4777-bdc0-f83cd6162760,dance-pop
24,06879155-b9ce-4777-bdc0-f83cd6162760,hypnagogic pop
24,06879155-b9ce-4777-bdc0-f83cd6162760,r&b
24,06879155-b9ce-4777-bdc0-f83cd6162760,contemporary r&b
24,06879155-b9ce-4777-bdc0-f83cd6162760,2020s
24,06879155-b9ce-4777-bdc0-f83cd6162760,2010s
25,06d82ce5-fb26-4522-957a-91645f81fa0f,
26,06e4802f-6f56-486b-a1c2-534ee9fe902f,rock
27,078a1158-b49e-4280-802f-bcc0278d5abe,indie pop
27,078a1158-b49e-4280-802f-bcc0278d5abe,tumblr
27,078a1158-b49e-4280-802f-bcc0278d5abe,alternative rock
28,0813ed4b-f652-4968-868f-2db10adb6c36,alternative rock
28,0813ed4b-f652-4968-868f-2db10adb6c36,pop punk
28,0813ed4b-f652-4968-868f-2db10adb6c36,power pop
28,0813ed4b-f652-4968-868f-2db10adb6c36,indie rock
28,0813ed4b-f652-4968-868f-2db10adb6c36,emo pop
28,0813ed4b-f652-4968-868f-2db10adb6c36,emo
29,0888b00f-9a49-4450-a11c-938aff07bd58,progressive rock
29,0888b00f-9a49-4450-a11c-938aff07bd58,alternative r&b
29,0888b00f-9a49-4450-a11c-938aff07bd58,art pop
29,0888b00f-9a49-4450-a11c-938aff07bd58,progressive metal
29,0888b00f-9a49-4450-a11c-938aff07bd58,djent
29,0888b00f-9a49-4450-a11c-938aff07bd58,alternative pop
29,0888b00f-9a49-4450-a11c-938aff07bd58,alternative metal
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,uk
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,indie pop
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,psychedelic rock
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,indie rock
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,psychedelic pop
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,trip-hop
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,indietronica
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,indie
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,pop
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,electronic
30,08bea1b3-be03-432f-8e94-a6b4b137bfea,english
31,08c80e89-2914-4c7a-afaf-83f50bfafa4b,trap
31,08c80e89-2914-4c7a-afaf-83f50bfafa4b,hip hop
31,08c80e89-2914-4c7a-afaf-83f50bfafa4b,west coast hip hop
32,09766ac5-16fc-40ee-a56a-079b37c28d38,metal
32,09766ac5-16fc-40ee-a56a-079b37c28d38,post-hardcore
32,09766ac5-16fc-40ee-a56a-079b37c28d38,hard rock
32,09766ac5-16fc-40ee-a56a-079b37c28d38,pop rock
32,09766ac5-16fc-40ee-a56a-079b37c28d38,nu metal
